iter	Passed	Remaining
1195	18402	58530
1196	18416	58511
1197	18429	58489
1198	18443	58468
1199	18456	58445
1200	18470	58426
1201	18485	58409
1202	18499	58388
1203	18517	58383
1204	18541	58394
1205	18556	58376
1206	18576	58376
1207	18589	58353
1208	18603	58333
1209	18616	58312
1210	18630	58292
1211	18644	58271
1212	18658	58250
1213	18672	58231
1214	18687	58215
1215	18705	58209
1216	18777	58367
1217	18801	58381
1218	18821	58380
1219	18836	58362
1220	18850	58341
1221	18863	58319
1222	18876	58296
1223	18889	58274
1224	18905	58260
1225	18919	58239
1226	18933	58219
1227	18948	58202
1228	18965	58191
1229	18983	58185
1230	19004	58185
1231	19017	58163
1232	19031	58145
1233	19045	58124
1234	19059	58103
1235	19073	58083
1236	19086	58063
1237	19100	58043
1238	19116	58029
1239	19131	58010
1240	19144	57989
1241	19160	57973
1242	19174	57955
1243	19188	57937
1244	19202	57916
1245	19216	57897
1246	19230	57876
1247	19244	57856
1248	19257	57834
1249	19271	57813
1250	19284	57790
1251	19298	57772
1252	19311	57750
1253	19326	57733
1254	19347	57733
1255	19361	57713
1256	19374	57691
1257	19388	57671
1258	19401	57650
1259	19415	57630
1260	19429	57609
1261	19443	57590
1262	19456	57568
1263	19470	57549
1264	19483	57527
1265	19498	57508
1266	19516	57502
1267	19531	57484
1268	19545	57464
1269	19558	57442
1270	19572	57422
1271	19586	57404
1272	19601	57386
1273	19614	57365
1274	19628	57344
1275	19642	57325
1276	19656	57306
1277	19670	57288
1278	19692	57291
1279	19709	57279
1280	19729	57279
1281	19743	57259
1282	19759	57244
1283	19773	57226
1284	19787	57206
1285	19801	57188
1286	19815	57168
1287	19830	57150
1288	19844	57131
1289	19858	57113
1290	19873	57095
1291	19886	57075
1292	19900	57053
1293	19914	57033
1294	19928	57014
1295	19942	56995
1296	19957	56978
1297	19973	56964
1298	19987	56947
1299	20003	56933
1300	20018	56917
1301	20033	56899
1302	20054	56901
1303	20068	56881
1304	20083	56863
1305	20097	56844
1306	20110	56824
1307	20124	56805
1308	20139	56786
1309	20152	56765
1310	20166	56745
1311	20180	56725
1312	20194	56707
1313	20208	56689
1314	20223	56670
1315	20237	56651
1316	20251	56633
1317	20265	56613
1318	20278	56590
1319	20292	56571
1320	20305	56550
1321	20318	56530
1322	20332	56510
1323	20348	56496
1324	20362	56478
1325	20376	56458
1326	20390	56438
1327	20403	56416
1328	20416	56395
1329	20430	56375
1330	20444	56355
1331	20457	56335
1332	20470	56314
1333	20484	56293
1334	20498	56276
1335	20512	56255
1336	20526	56236
1337	20540	56217
1338	20554	56198
1339	20568	56179
1340	20582	56159
1341	20597	56143
1342	20613	56132
1343	20628	56115
1344	20642	56095
1345	20656	56076
1346	20670	56057
1347	20683	56036
1348	20698	56018
1349	20711	55998
1350	20725	55979
1351	20739	55959
1352	20753	55941
1353	20767	55920
1354	20780	55901
1355	20795	55882
1356	20808	55862
1357	20822	55843
1358	20835	55822
1359	20850	55804
1360	20864	55785
1361	20878	55766
1362	20899	55768
1363	20913	55748
1364	20927	55728
1365	20941	55709
1366	20955	55692
1367	20969	55672
1368	20982	55651
1369	20996	55632
1370	21010	55613
1371	21024	55594
1372	21037	55574
1373	21052	55558
1374	21066	55539
1375	21080	55519
1376	21093	55498
1377	21107	55478
1378	21120	55458
1379	21133	55437
1380	21148	55420
1381	21162	55402
1382	21175	55381
1383	21189	55361
1384	21202	55340
1385	21216	55322
1386	21237	55321
1387	21251	55303
1388	21266	55285
1389	21281	55269
1390	21295	55252
1391	21310	55234
1392	21324	55217
1393	21338	55197
1394	21352	55179
1395	21366	55160
1396	21380	55141
1397	21394	55123
1398	21410	55108
1399	21423	55088
1400	21437	55069
1401	21451	55052
1402	21465	55033
1403	21479	55015
1404	21496	55004
1405	21515	54997
1406	21532	54987
1407	21548	54972
1408	21562	54953
1409	21576	54935
1410	21597	54934
1411	21610	54914
1412	21624	54895
1413	21638	54877
1414	21654	54863
1415	21679	54873
1416	21700	54871
1417	21716	54856
1418	21730	54840
1419	21746	54824
1420	21760	54807
1421	21776	54793
1422	21790	54775
1423	21805	54757
1424	21818	54738
1425	21832	54717
1426	21846	54701
1427	21861	54683
1428	21876	54667
1429	21890	54648
1430	21903	54628
1431	21917	54610
1432	21931	54592
1433	21950	54585
1434	21973	54590
1435	21989	54574
1436	22003	54557
1437	22017	54537
1438	22031	54521
1439	22046	54502
1440	22060	54484
1441	22074	54465
1442	22090	54453
1443	22105	54437
1444	22119	54419
1445	22134	54402
1446	22150	54389
1447	22165	54373
1448	22178	54352
1449	22191	54331
1450	22206	54313
1451	22220	54295
1452	22233	54275
1453	22246	54255
1454	22261	54238
1455	22275	54219
1456	22289	54202
1457	22304	54185
1458	22328	54190
1459	22344	54177
1460	22360	54164
1461	22377	54153
1462	22393	54138
1463	22412	54133
1464	22429	54122
1465	22454	54129
1466	22471	54117
1467	22485	54099
1468	22499	54082
1469	22514	54066
1470	22534	54060
1471	22551	54049
1472	22566	54034
1473	22581	54017
1474	22595	53999
1475	22610	53983
1476	22624	53965
1477	22639	53948
1478	22654	53933
1479	22674	53928
1480	22693	53921
1481	22710	53909
1482	22731	53908
1483	22745	53889
1484	22760	53874
1485	22775	53859
1486	22790	53841
1487	22804	53823
1488	22819	53806
1489	22833	53787
1490	22847	53770
1491	22862	53754
1492	22877	53739
1493	22896	53732
1494	22919	53734
1495	22938	53726
1496	22954	53713
1497	22974	53708
1498	23004	53728
1499	23047	53776
1500	23070	53779
1501	23089	53773
1502	23113	53778
1503	23138	53784
1504	23161	53786
1505	23179	53776
1506	23214	53806
1507	23233	53800
1508	23249	53787
1509	23264	53770
1510	23280	53756
1511	23295	53738
1512	23309	53721
1513	23333	53724
1514	23348	53708
1515	23363	53691
1516	23379	53678
1517	23394	53662
1518	23418	53667
1519	23436	53657
1520	23452	53642
1521	23470	53633
1522	23493	53634
1523	23515	53635
1524	23537	53635
1525	23553	53621
1526	23574	53618
1527	23588	53598
1528	23602	53581
1529	23617	53563
1530	23632	53547
1531	23646	53529
1532	23661	53512
1533	23676	53495
1534	23691	53480
1535	23706	53462
1536	23719	53443
1537	23734	53426
1538	23749	53409
1539	23771	53408
1540	23790	53401
1541	23809	53392
1542	23831	53392
1543	23845	53374
1544	23859	53355
1545	23874	53339
1546	23889	53321
1547	23904	53306
1548	23918	53287
1549	23933	53271
1550	23949	53258
1551	23975	53265
1552	24166	53638
1553	24289	53861
1554	24350	53946
1555	24373	53947
1556	24393	53941
1557	24418	53947
1558	24441	53946
1559	24465	53950
1560	24492	53959
1561	24509	53947
1562	24526	53932
1563	24547	53928
1564	24562	53911
1565	24581	53903
1566	24651	54006
1567	24671	54000
1568	24685	53980
1569	24701	53964
1570	24729	53977
1571	24807	54097
1572	24872	54189
1573	24904	54208
1574	24957	54273
1575	24979	54271
1576	25007	54279
1577	25046	54314
1578	25081	54341
1579	25105	54341
1580	25125	54335
1581	25143	54323
1582	25163	54316
1583	25184	54311
1584	25201	54297
1585	25223	54295
1586	25242	54286
1587	25268	54292
1588	25286	54280
1589	25308	54277
1590	25333	54281
1591	25350	54267
1592	25373	54267
1593	25395	54264
1594	25411	54248
1595	25432	54242
1596	25447	54224
1597	25461	54206
1598	25476	54186
1599	25492	54170
1600	25509	54157
1601	25530	54153
1602	25548	54141
1603	25564	54125
1604	25639	54233
1605	25685	54282
1606	25721	54307
1607	25799	54423
1608	25833	54444
1609	25852	54433
1610	25871	54424
1611	25898	54431
1612	25922	54432
1613	25943	54426
1614	25970	54434
1615	25989	54422
1616	26008	54412
1617	26028	54404
1618	26043	54386
1619	26059	54370
1620	26076	54356
1621	26092	54340
1622	26111	54329
1623	26127	54313
1624	26146	54305
1625	26162	54288
1626	26189	54295
1627	26209	54285
1628	26223	54265
1629	26243	54258
1630	26266	54255
1631	26288	54252
1632	26307	54241
1633	26321	54221
1634	26335	54202
1635	26356	54194
1636	26373	54180
1637	26393	54172
1638	26415	54168
1639	26433	54156
1640	26452	54145
1641	26469	54131
1642	26483	54110
1643	26497	54091
1644	26512	54071
1645	26526	54051
1646	26541	54033
1647	26556	54015
1648	26570	53994
1649	26585	53976
1650	26607	53972
1651	26621	53952
1652	26637	53934
1653	26652	53917
1654	26673	53910
1655	26689	53894
1656	26710	53887
1657	26729	53879
1658	26749	53870
1659	26769	53862
1660	26784	53843
1661	26803	53833
1662	26819	53816
1663	26835	53800
1664	26851	53783
1665	26865	53764
